id,orderId,mode,originCity,originCountry,destinationCity,destinationCountry,originLat,originLng,destinationLat,destinationLng,hub,carrier,plannedDeparture,plannedArrival,actualArrival,delayDays,costEur,weightKg,volumeM3,priority,status,delayReason,co2Kg,riskScore,riskLevel,costPerKg,dataQualityFlag
SHP-0200,ORD-14285,Air,Barcelona,Spain,Amsterdam,Netherlands,41.3874,2.1686,52.3676,4.9041,Barcelona Port,BlueRoute Logistics,2026-03-09,2026-03-13,2026-03-13,0,9469.95,3562.2,11.87,Medium,Delivered,No delay,5343.3,46,Medium,2.658,
SHP-0201,ORD-58085,Road,Frankfurt,Germany,Lyon,France,50.1109,8.6821,45.764,4.8357,Lyon Hub,EuroCargo Line,2026-03-05,2026-03-10,2026-03-10,0,2296.04,6016.3,36.27,Low,Delivered,No delay,722.0,18,Low,0.382,
SHP-0202,ORD-25386,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,BlueRoute Logistics,2026-02-02,2026-02-22,2026-02-26,4,6043.37,6846.1,3.26,Low,At risk,Weather disruption,479.2,62,High,0.883,
SHP-0203,ORD-88231,Air,Amsterdam,Netherlands,Shanghai,China,52.3676,4.9041,31.2304,121.4737,Amsterdam Schiphol,Global Freight Partners,2026-03-01,2026-03-03,2026-03-03,0,10571.97,6160.6,53.1,High,Delivered,No delay,18481.8,56,Medium,1.716,
SHP-0204,ORD-63948,Sea,Barcelona,Spain,Casablanca,Morocco,41.3874,2.1686,33.5731,-7.5898,Barcelona Port,Maghreb Maritime,2026-03-20,2026-04-04,2026-04-04,0,2812.43,4099.8,58.63,High,Delivered,No delay,287.0,46,Medium,0.686,
SHP-0205,ORD-45221,Air,Madrid,Spain,London,United Kingdom,40.4168,-3.7038,51.5072,-0.1276,Madrid Hub,AirSwift Cargo,2026-02-06,2026-02-08,2026-02-08,0,10059.15,6493.0,49.78,Medium,Delivered,No delay,9739.5,46,Medium,1.549,
SHP-0206,ORD-10324,Sea,Rotterdam,Netherlands,Tangier,Morocco,51.9244,4.4777,35.7595,-5.834,Rotterdam Port,OceanBridge,2026-01-17,2026-02-05,2026-02-05,0,6959.92,2300.1,60.94,Medium,Delivered,No delay,161.0,42,Medium,3.026,
SHP-0207,ORD-47171,Air,New York,United States,London,United Kingdom,40.7128,-74.006,51.5072,-0.1276,New York Port,BlueRoute Logistics,2026-02-20,2026-02-21,2026-02-21,0,8926.88,3210.6,62.97,High,Delivered,No delay,9631.8,50,Medium,2.78,
SHP-0208,ORD-30707,Road,Amsterdam,Netherlands,Paris,France,52.3676,4.9041,48.8566,2.3522,Amsterdam Schiphol,Global Freight Partners,2026-03-09,2026-03-12,2026-03-12,0,2812.07,5988.4,4.13,Medium,Delivered,No delay,718.6,32,Low,0.47,
SHP-0209,ORD-61949,Road,Paris,France,Lyon,France,48.8566,2.3522,45.764,4.8357,Paris CDG,EuroCargo Line,2026-01-22,2026-01-25,2026-01-30,5,3201.21,5168.0,17.17,Medium,At risk,Road traffic,620.2,62,High,0.619,
SHP-0210,ORD-25806,Sea,Dubai,United Arab Emirates,Hamburg,Germany,25.2048,55.2708,53.5511,9.9937,Dubai Airport,Global Freight Partners,2026-01-17,2026-01-27,2026-02-08,12,1490.97,1191.2,15.63,Medium,At risk,Port congestion,166.8,77,High,1.252,
SHP-0211,ORD-27451,Air,Paris,France,Istanbul,Turkey,48.8566,2.3522,41.0082,28.9784,Paris Hub,BlueRoute Logistics,2026-01-15,2026-01-17,2026-01-17,0,10527.75,5748.4,7.73,Low,Delivered,No delay,8622.6,36,Low,1.831,
SHP-0212,ORD-67984,Sea,Hamburg,Germany,Shanghai,China,53.5511,9.9937,31.2304,121.4737,Hamburg Port,OceanBridge,2026-03-14,2026-04-08,2026-04-11,3,6414.6,2856.1,14.79,Medium,Delayed,Documentation issue,399.9,72,High,2.246,
SHP-0213,ORD-88774,Air,Paris,France,Dubai,United Arab Emirates,48.8566,2.3522,25.2048,55.2708,Paris Hub,AirSwift Cargo,2026-01-21,2026-01-25,2026-01-25,0,9692.0,3451.9,51.67,Low,Delivered,No delay,10355.7,36,Low,2.808,
SHP-0214,ORD-41370,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,OceanBridge,2026-02-13,2026-02-26,2026-02-26,0,2319.07,4062.6,48.91,Low,Delivered,No delay,284.4,22,Low,0.571,
SHP-0215,ORD-65163,Sea,Rotterdam,Netherlands,Shanghai,China,51.9244,4.4777,31.2304,121.4737,Rotterdam Port,Global Freight Partners,2026-01-15,2026-02-07,2026-02-07,0,3514.49,272.0,24.24,Low,Delivered,No delay,38.1,26,Low,12.921,
SHP-0216,ORD-47550,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Madrid Hub,BlueRoute Logistics,2026-01-15,2026-01-16,2026-01-16,0,2793.1,285.1,14.96,High,Delivered,No delay,34.2,42,Medium,9.797,
SHP-0217,ORD-30365,Sea,Shanghai,China,Rotterdam,Netherlands,31.2304,121.4737,51.9244,4.4777,Shanghai Port,Global Freight Partners,2026-02-26,2026-03-07,2026-03-07,0,2092.84,4276.9,10.94,Low,Delivered,No delay,598.8,22,Low,0.489,
SHP-0218,ORD-33022,Sea,Rotterdam,Netherlands,Tangier,Morocco,51.9244,4.4777,35.7595,-5.834,Rotterdam Port,Maghreb Maritime,2026-03-02,2026-03-16,2026-03-18,2,5206.74,1063.8,40.26,Low,Delayed,Documentation issue,74.5,47,Medium,4.894,
SHP-0219,ORD-45227,Road,Marseille,France,Milan,Italy,43.2965,5.3698,45.4642,9.19,Marseille-Fos Port,RoadFast Europe,2026-01-26,2026-01-30,2026-01-30,0,2115.76,4165.3,51.15,Medium,Delivered,No delay,499.8,28,Low,0.508,
SHP-0220,ORD-17266,Sea,Rotterdam,Netherlands,Shanghai,China,51.9244,4.4777,31.2304,121.4737,Rotterdam Port,Maghreb Maritime,2026-03-01,2026-03-16,2026-03-16,0,4596.12,2183.7,63.41,Medium,Delivered,No delay,305.7,36,Low,2.105,
